Area,"Alcohol, Non-Food",Apples and products,"Aquatic Animals, Others",Aquatic Plants,Bananas,Barley and products,Beans,Beer,"Beverages, Alcoholic","Beverages, Fermented",Bovine Meat,"Butter, Ghee",Cassava and products,Cephalopods,"Cereals, Other","Citrus, Other",Cloves,Cocoa Beans and products,Coconut Oil,Coconuts - Incl Copra,Coffee and products,Cottonseed,Cottonseed Oil,Cream,Crustaceans,Dates,Demersal Fish,Eggs,"Fats, Animals, Raw","Fish, Body Oil","Fish, Liver Oil",Freshwater Fish,"Fruits, Other",Grapefruit and products,Grapes and products (excl wine),Groundnut Oil,Groundnuts (Shelled Eq),Honey,Infant food,"Lemons, Limes and products",Maize and products,Maize Germ Oil,"Marine Fish, Other","Meat, Aquatic Mammals","Meat, Other",Milk - Excluding Butter,Millet and products,Miscellaneous,"Molluscs, Other",Mutton & Goat Meat,Nuts and products,Oats,"Offals, Edible","Oilcrops Oil, Other","Oilcrops, Other",Olive Oil,Olives (including preserved),Onions,"Oranges, Mandarines",Palm kernels,Palm Oil,Palmkernel Oil,Peas,Pelagic Fish,Pepper,Pigmeat,Pimento,Pineapples and products,Plantains,Potatoes and products,Poultry Meat,"Pulses, Other and products",Rape and Mustard Oil,Rape and Mustardseed,Rice and products,Ricebran Oil,"Roots, Other",Rye and products,Sesame seed,Sesameseed Oil,Sorghum and products,Soyabean Oil,Soyabeans,"Spices, Other",Sugar (Raw Equivalent),Sugar beet,Sugar cane,Sugar non-centrifugal,Sunflower seed,Sunflowerseed Oil,Sweet potatoes,"Sweeteners, Other",Tea (including mate),Tomatoes and products,"Vegetables, Other",Wheat and products,Wine,Yams
Afghanistan,NA,4.01,NA,NA,3.66,0.51,NA,0.01,0,0,2.61,1.01,NA,NA,0,1.32,NA,0,0,0,0.03,NA,0.1,0.01,NA,0,NA,1.5,0.4,NA,NA,0.25,8.12,0.01,17.9,0,0.03,0.04,0.1,0.01,1.38,0,NA,NA,0.3,54.19,0.26,0.42,NA,4.15,0.55,0,1.47,0,NA,0.02,0.07,5.88,3.18,NA,1.84,0,NA,NA,NA,0,NA,0,NA,6.29,1.53,2.11,0.06,NA,19.77,0,NA,0,0.4,0.02,NA,0.3,0,0.41,9.12,NA,0,NA,NA,1.47,NA,0.48,2.16,0,42.46,155.39,0,NA
Africa,0,2.16,0,0,11.94,3.17,4.28,12.35,0.62,18.13,5.63,0.22,59.45,0.04,3.85,4.04,0.01,0.01,0.1,0.88,0.65,NA,0.27,0.11,0.18,2.67,1.64,2.3,0.29,0,0,4,13.43,0.37,2.22,1.06,3.28,0.17,0.07,0.83,46.78,0.21,0.78,NA,1.43,35.45,8.34,0.85,0.04,2.49,1.01,0.07,2.04,0.85,0.45,0.22,0.99,9.66,7.33,0,2.9,0.5,0.59,3.66,0.03,1.48,0.71,4.13,13.52,17.1,6.21,7.09,0.03,0,36.39,0,8.52,0,0.34,0.1,15.64,1.43,0.63,0.55,15.02,0,3.19,0.04,0.13,1.1,17.19,2.26,0.42,16.99,40.69,48.99,0.63,30.18
Albania,NA,33.7,0,0,9.88,0.26,5.64,32.08,0,0,14.67,1.81,0,0.41,0.05,0.03,NA,0,NA,0,2.58,NA,NA,0,0.35,4.1,1.08,14.66,1.62,0,0,0.83,51.95,0.06,52.6,0.01,0.25,1.09,0.09,2.34,2.8,0.29,0.74,NA,0.17,396.34,NA,2.74,0.37,9.11,3.82,0.08,5.86,1.47,NA,0.64,23.34,37.09,16.36,NA,NA,NA,0,1.58,0.01,7.2,0.01,0.07,0,45.61,16.36,0.36,0.01,0,9.84,NA,0,0.63,NA,NA,NA,0.1,0,0,21.2,NA,NA,NA,NA,5.7,0,16.45,0.07,73.58,186.19,132.1,10.06,NA
Algeria,NA,11.36,0,0,2.09,12.57,1.39,4.18,0.15,0,4.63,0.22,0,0.09,0.07,0.03,0,0,0.05,0.04,3.2,NA,NA,NA,0.11,20.88,0.42,8.43,0.23,0,0,0.17,25.89,0.04,12.3,0.68,0.1,0.15,0.44,1.67,15.87,0.03,0.32,NA,0.35,121.71,NA,2.23,0,6.69,1.84,0.01,1.39,2.9,0,1.76,5.24,32.6,27.45,NA,0.66,NA,0.45,2.75,0.08,0,0.43,0.2,0,66.04,6.38,5.8,0.1,0,4.25,NA,0,0,0.16,0,0.13,8.04,0,0.37,26.65,NA,NA,NA,NA,2.25,0,2.5,0.34,30.49,122.99,185.67,0.01,NA
Americas,NA,10.02,0.07,0,16.57,0.3,6.28,60.75,3.87,0.77,27.83,1.2,12.9,0.36,0.45,0.7,0,0,0.1,2.77,2.75,0,0.44,0.6,2.92,0.08,2.87,12.59,1.55,0,0,3.88,25.6,1.2,4.53,0.09,2.32,0.3,0.1,5.35,37.51,0.83,0.33,0,0.65,163.96,0,0.99,1.38,0.62,1.89,2.21,2.21,1.47,0.01,0.47,0.41,9.58,20.85,NA,1.88,0.06,0.52,3.04,0.09,18.65,0.21,7.38,8.16,34.25,41.94,1.28,1.23,0,28.17,0.02,1.1,0.25,0.12,0.03,0.28,8.9,0.26,0.38,35.37,0.02,3.26,1.82,0.19,0.83,2.76,16.12,1.01,21.2,47,61.45,4.94,1.03
Angola,NA,0.61,0,0,34.84,0,6.58,39.17,1.03,25,4.33,0.06,158.04,0.13,0,8.47,0,0,0,0.13,0.56,NA,0.02,0.27,0.03,0,5.95,0.67,0.31,0,NA,0.85,2.14,0,0.03,0.99,4.05,0.75,0.15,0.06,56.57,0.01,0.74,NA,0.32,9.49,1.38,1.18,0.01,0.77,0.07,0.03,1.77,0.03,NA,0.11,0.04,0.89,0.36,NA,2.52,0.24,NA,12.51,0,7.5,0,22.02,0,15.08,10.56,0.85,0,0,13.43,0,0,0,0.09,0,0,2.8,0.46,0.01,11.33,NA,0,NA,NA,0.66,33.69,9.04,0.02,3.19,22.23,32.6,1.13,NA
Antigua and Barbuda,NA,4.88,NA,0,19.52,0,1.1,30.11,8.25,0.55,7.47,0,1.34,0.36,0.62,0.38,0.08,0,0.08,0.46,0.83,NA,0.03,0,5.49,0.09,6.08,2.88,0.1,0,0.01,0.72,90.32,0.25,3.35,0.25,1.3,0.35,0.49,4.9,1.43,0.12,19.4,NA,0.25,80.62,0,8.55,7.81,1.99,0.32,1.26,2.81,5.03,NA,0.52,0.31,7,2.8,NA,0,0,0.53,12.68,0.45,8.22,0.23,6.27,3.3,11.68,54.1,0.7,0.15,0,13.18,NA,0.79,0.01,0.02,0.04,0,3.98,0.27,1.18,27.12,NA,NA,NA,0.03,0.04,3.27,21.6,1.15,8.42,53.59,59.42,6.38,1.32
Argentina,NA,16.97,0,0,14.7,NA,0.41,43.03,1.11,0.04,54.16,0.93,1.84,0.54,0.77,0.03,0,0,0.09,0.06,0.84,NA,0.07,0,1.43,0.01,2.87,15.5,2.55,0,0,0.31,16.69,1.99,2.02,0.09,0,0.03,NA,13.76,11.57,0.49,0.01,NA,1,158.94,NA,NA,0.77,1.28,0.31,0.96,5.87,0.16,0,0.11,0.1,14.36,26.8,NA,0,0,0.06,1.38,0.04,10.7,0.09,0.88,0.03,38.28,42.24,0.34,0.05,0,12.16,NA,0,NA,0,0,NA,2.67,0.01,0.07,40.76,NA,NA,NA,NA,11.09,7.14,6.64,5.96,14.35,38.86,105.17,22.1,NA
Armenia,NA,27.31,0,0,4.11,0.54,1.49,6.1,0.36,0,17.82,1.48,0,0.01,2.31,0.01,NA,0.33,0.19,0.03,3.29,0,0,0,0.35,0.28,0.14,11.64,2.21,0,0,4.37,70.75,0.42,14.14,0,0.68,0.74,0.14,0.71,7.48,0.14,0.17,NA,0.03,200.09,NA,4.6,0.03,2.95,2.23,0.65,6.12,2.19,0.01,0.03,1.05,18,4.55,NA,0,0,0.52,0.76,0.07,8.79,0.02,0.37,0.11,40.98,16.06,0.88,0,0,3.29,NA,0,0.14,0.02,0,NA,0.21,0.01,0.03,29.45,NA,NA,NA,NA,6.7,0,23.31,0.13,62.52,255.66,132.49,1.62,NA
Asia,NA,9.02,0.26,0.32,11.34,0.67,1.68,13.76,3.02,1.11,4.68,0.23,5.07,0.54,0.31,1.38,0.01,0,0.22,3.76,0.66,0,0.47,0.18,2.37,0.85,2.43,10.85,0.86,0.01,0,10.93,30,1.26,4.56,0.58,2.47,0.16,0.12,1.25,11.05,0.19,1.36,NA,0.55,62.25,2.51,0.49,3.68,1.93,2.25,0.1,2.21,0.29,0.04,0.09,0.09,13.04,9.89,0,2.05,0.23,1.15,2.59,0.07,15.18,0.64,1.65,0.98,29.64,9.71,4.39,1.29,0,117.25,0.09,0.77,0.09,0.18,0.12,1.51,2.09,2.07,1.17,14.54,0.08,1.46,1.04,0.02,0.77,8,1.88,1.06,20.63,145.99,63.29,0.77,0.03
Australia,NA,13.4,0.06,0,15.12,NA,0,76.57,1.85,1.63,35.7,3.82,0.08,1.15,1.09,0.07,0.01,0,0.03,0.72,4.73,NA,3.12,0.2,4.81,0.33,5.99,8.03,1.67,0,0.01,4.4,21.52,0.29,7.45,0.07,2.46,0.68,0.39,1.31,4.95,0.14,2.08,NA,2.26,219.48,NA,9.2,2.87,10.07,5.76,1.66,7.69,5.84,NA,1.49,2.73,9.25,10.91,NA,3.33,0,0.23,4.57,0.13,25.92,0.17,5.56,0,47.97,47.65,0.76,8.06,0,15.95,NA,0.02,0.03,NA,0.18,0,0.47,0.71,0.52,36.35,NA,0,NA,NA,0.49,2.51,8.96,0.57,18.12,65.87,76.03,20.5,NA
Australia and New Zealand,NA,12.51,0.09,0,15.09,0.03,0.25,75.05,2.04,1.39,33.31,4.67,0.11,1.14,1.57,0.39,0.01,0,0.03,0.7,4.46,0,2.63,0.19,4.44,0.27,6.93,8.41,1.67,0,0.01,4.12,21.08,0.27,6.89,0.06,2.46,0.77,0.33,1.26,4.77,0.16,1.75,NA,2.27,201.91,NA,7.72,2.55,11.51,5.19,1.79,6.76,4.92,0.01,1.42,2.35,7.76,10.34,NA,2.79,0,0.33,4.75,0.13,25.6,0.15,5.17,0.02,47.76,45.59,0.82,7.19,0,15.12,NA,0.14,0.02,0.03,0.16,0,0.81,0.71,0.52,38.45,0.03,0,NA,0.04,0.57,2.43,8.43,0.55,17.93,68.41,78.75,18.28,0.01
Austria,NA,21.81,0.02,0,11.91,0.21,0.16,96.91,2.22,0,17.76,5.42,NA,0.25,1.87,0.07,0.01,0,0,0.19,7.33,NA,0,7.5,1.71,0.24,2.79,14.69,3.02,0,0,4.14,31.85,0.24,4.4,0.04,1.16,1.25,0.01,3.44,10.78,0.03,0.71,NA,1.17,230.63,NA,0,0.52,1.12,4.41,2.14,1.96,1.04,0.49,1.02,0.72,11.78,10.25,0,0,NA,0.13,3.98,0.1,48.97,0.26,1.6,0.02,56.87,18.2,0.56,9.3,0,5.4,NA,0.01,10.53,0.28,0.02,NA,1.17,2.14,0.55,42.27,NA,NA,NA,0,2.49,0.04,5.09,0.32,13.75,69.68,84.81,31.7,0
Azerbaijan,NA,14.77,0,0,1.44,0.05,0.55,46.98,9.41,0,12.69,3.82,0,0.01,0.68,0.43,NA,0,0.01,0.01,0.13,NA,0,0,0.17,0.48,0.37,8.86,0.21,0,NA,0.68,39.25,0.13,12.69,0,0.12,0.26,0.2,1.49,16.93,0.17,0.12,NA,0,131.82,NA,0.03,0.01,7.77,3.02,0.11,2.43,2.53,0,0.13,0.08,17.32,5.26,NA,0,0,NA,1.84,0.01,0.51,0.01,0.09,0,74.52,13.11,0,0,0,1.96,NA,0,0,NA,0,0,0.38,0,0.06,21.46,NA,0,NA,NA,0.31,0,2.87,0.8,48.22,94.08,187.63,0.59,NA
Bahamas,NA,4.16,0.01,0,30.18,1.77,0.18,4.12,12.94,0.65,7.93,0,2.76,0.17,0.12,0.98,0,0.01,0.05,6.77,1.38,NA,0,0,7.14,0,3.43,7.07,0.07,0,0,1.04,25.68,55.59,2.92,0,0.86,0.34,0.79,10.37,3.28,0.16,0.81,NA,0.47,24.61,NA,32.37,1.44,2.91,0.56,0.25,3.64,3.99,0,0.37,0.15,4.85,17.5,NA,0.43,0.03,0,13.29,0.1,12.56,0.01,1.59,1.16,6.56,43.17,0.39,NA,0,19.29,0,0.19,NA,0,0.02,NA,0.73,0.02,0.88,31.66,NA,NA,NA,0,0,2.4,38.29,0.37,12.25,70.72,17.41,5.12,0.02
Bangladesh,NA,1.46,0,0,4.55,NA,0.36,0.02,0.01,0,1.18,0.01,0.17,0,0,0.02,0,0,0.12,0.04,0.02,NA,0.03,0,1.21,0.03,0.49,2.85,0.14,0,0,20.17,18.6,0.39,0.11,0.1,0.06,0.01,0.05,0.41,0.66,0,1.94,NA,0,18.1,0.07,0.13,0,1.36,0.9,0,0.61,0.01,0,0,0,12.34,0.86,NA,3.79,0,2.15,0.49,0,0,0.86,1.19,NA,49.9,1.5,4.3,0.89,0,268.49,0.01,0,0,NA,0.05,0,2.3,0.63,2.21,5.6,NA,1.88,1.45,0.01,0.03,1.38,1.89,0.49,2.23,20.53,18.06,0,NA
Barbados,NA,10.21,NA,0,11.82,0,0.51,28.87,1.37,0.55,12.76,0,0.9,0.32,1.31,0.09,0.04,0.01,0,7.5,1.22,NA,0.89,2.27,1.83,0.08,2.69,9.51,0.43,0,0,0.74,19.69,1.03,9.32,0.01,1.9,0.49,0.76,1.81,10.43,0.61,10.45,NA,0.05,26.9,NA,39.54,0.57,4.49,1.04,1.38,2.08,2.26,0,0.77,0.19,7.62,9.64,NA,0,0.01,1.37,23.37,0.4,7.29,0.19,4.59,3.39,41.62,46.78,5.93,NA,1,18.92,NA,0.96,0.02,0.11,0.04,NA,4.58,0.22,1.28,45.57,NA,0,NA,0.07,1.44,5.24,6.83,0.87,2.88,56.29,66.39,12.71,1.1
Belarus,NA,23.72,0,0,7.69,3.09,NA,46,16.93,1.96,16.73,4.99,0,0.26,2.91,0.01,0,0.78,0.09,0.04,0.98,0,0,1.53,0.17,0.06,3.29,14.71,0,0,0,3.64,28.2,0.62,1.72,0,0.51,0.31,0,0.84,0.45,0.03,1.15,NA,0.19,120.76,NA,9.79,0.25,0.11,2.72,10.26,7.38,2.5,NA,0.06,0.22,26.77,5.97,NA,0,0,NA,7.52,0.03,36.46,0.02,0.52,0,178.29,27.98,0.02,4.07,0,2.9,NA,0,31.92,NA,0,NA,1.27,0.6,0.09,25.37,NA,0,NA,NA,9.09,0,52.4,0.45,32.25,111.83,70.61,8.14,NA
Belgium,NA,5.96,0.02,0,10.65,0.17,0.44,80.61,1.58,0.58,13.76,2.18,NA,0.29,0.05,0.76,0,0,0,0.56,4.73,NA,0,10.38,1.13,0.33,7.66,13.18,4.82,0,0,6.83,17.26,1.49,6.22,0,0.24,0.57,NA,2.59,2.68,1.93,0.36,NA,1.79,236.39,NA,NA,2.52,1.04,2.66,0.16,4.44,2.23,0,1.24,0.64,2.47,35.2,0,0,0,1.69,4.22,0.13,36.54,0.13,2.6,1.5,89.7,12.65,0.17,0,0,9.92,NA,0,0.76,NA,0,NA,4.44,0.2,0.57,47.61,NA,NA,NA,NA,1.62,NA,26.01,0.27,18.98,117.04,121.79,26.39,0.02
Belize,NA,0.78,NA,0,6.44,0,9.23,32.97,5.82,0,3.26,0,1.22,0.01,1.13,0,0,0,0.13,1.87,0.9,NA,0,0,2.31,0,1.3,4.62,0.98,0,0,0.17,17.46,3.43,1.03,0,0.5,0.09,0.53,0,29.94,0.12,0.48,NA,0.26,42.77,NA,20.26,2.94,0.11,0.4,2.14,0.67,5.24,NA,0.21,0.17,3.51,105.23,NA,0,0,3.8,4.95,0.07,11.77,0.04,4.53,9.6,10.64,25.69,0.23,NA,0,40.4,NA,0.43,NA,0.02,0.01,2.15,4.31,2.05,0.12,41.7,NA,NA,NA,0,1.98,0.13,5.09,0.09,5.44,47.25,54.61,1.01,0.08
Benin,NA,0.01,0,0,1.46,0.2,6.84,10.31,0.29,73.79,3.42,0,117.01,0,0.1,0,0,0,0.18,0.21,0.03,NA,0.97,0,0.52,0.12,2.42,1.02,0.19,NA,0,7.14,10.78,0,0.04,2.06,8.45,0,0.07,0,38.01,0,6.21,NA,0.77,13.57,1.42,2.02,0,0.92,5.78,0,1.19,0.21,0,0.01,0,5.87,1.04,NA,5.35,0.48,0,1.3,0.02,0.74,6.36,28.92,NA,0.19,14.4,3.72,0,0,74.81,NA,0.13,NA,0.83,0,8.09,1.31,0,0.02,8.17,NA,NA,NA,0,0.02,5.02,1.36,0.03,31.35,22.99,15.43,0.29,161.41
Bolivia (Plurinational State of),NA,3.25,0,0,2.81,0.02,2.37,30.78,0.64,0.14,21.89,0.11,15.44,0,2.66,0,0,0,0,0.11,2.11,NA,0.97,0.03,0.01,0,0,7.38,0.85,0,0,0.95,10.38,0.43,1.23,0.21,0.62,0.08,0.43,2.47,40.72,0.01,1.2,NA,1.56,47.75,NA,1.42,0.01,2.46,7.89,0.16,1.12,0,0,0.04,0.03,8,31.09,NA,0,0.02,0.48,0.4,0.01,9.48,0.07,6.81,25.17,66.78,36,1.22,0,0,41.14,0,3.54,0.02,0.67,0,NA,2.21,0.01,0.38,27.05,NA,0,NA,NA,0.52,0.35,1.52,0.21,6.02,21.87,52.36,0.7,NA
Bosnia and Herzegovina,NA,21.11,0,0,12.83,3.48,3.74,73.18,18.68,0.93,9.33,0.55,0,0.2,0.48,0.04,0,0,0,0.01,6.92,NA,0,0,0.02,0.32,1.11,5.11,0.61,0,0,1.26,35.59,0.33,8.46,0,0.9,1.02,0.24,3.08,79.72,0,0.33,NA,0.18,197.24,NA,9.4,0.03,0.41,1.63,0.13,2.16,2.03,0.01,0.17,0.19,11.71,9.28,NA,0.74,0,0.57,1.93,0.05,9.41,7.61,0.44,0.57,80.32,16.7,1.09,NA,0,3.17,NA,0,1.53,NA,NA,0,1.32,0.65,0.13,18.18,NA,NA,NA,NA,4.09,0,13.32,0.02,18.59,200.56,84.35,2.16,NA
Botswana,NA,4.15,0,0,0.39,0,1.27,33.69,1.58,8.23,5.78,1.12,0,0,2.97,0.16,0,0,0,0.02,0.72,NA,0.73,1.92,0.07,0.01,0.29,1.5,0.61,0,0,0.21,17.77,0.1,0.96,0.05,0.48,0.03,0.21,0.08,41.94,0.07,0.06,NA,11.71,117.94,0.37,17.01,0.01,2.83,0.16,0.03,3.27,0.96,0,0.11,0.02,3.53,3.73,NA,0.35,0,0.16,3.17,0.04,0.73,0.01,0.26,2.83,8.2,3.39,1.5,0.01,0,12.53,NA,42.64,0,0,0.04,21.12,0.03,1.55,1.69,26.05,NA,0.01,NA,NA,8.43,0.12,25.13,0.71,5.16,34.72,43.37,2.21,0
Brazil,NA,5.13,0,0,28.61,0,13.95,62.02,3.56,0,37.05,0.54,35.22,0.06,0.42,0,0,0,0.01,9.55,2.65,NA,1.28,1.12,0.55,0,2.55,7.77,2.67,0,0,4.54,18.25,0.35,5.97,0.01,0.8,0.06,0.01,4.27,28.94,0.08,0.28,NA,0.51,143.95,NA,0,0.16,0.6,0.79,2.81,2.33,2.48,0.01,0.29,0.51,7,22.59,NA,2.43,0,0.18,0.95,0.05,13.65,0,8.71,NA,15.22,48.03,0.12,NA,0,48.48,0.08,0,0.03,0.05,0,NA,12.74,0,0.06,39.3,NA,15.58,2.33,0.01,0.36,1.31,1.08,2.02,18.94,25.03,49.21,1.66,0.58
Bulgaria,NA,7.69,0.15,0,4.98,0.68,1.54,80.83,9.27,0.02,3.89,1.14,NA,0.24,5.41,0.15,0,0,0,0.09,3.99,NA,0,0.66,0.4,0.2,1,8.62,1.83,0,0,1.95,26.04,1.37,6.52,0.44,0.5,0.13,0.15,2.16,36.75,0.91,0.33,NA,0.92,168.78,NA,3.13,0.13,1.38,1.16,0.25,4.45,0.08,0,0.34,1.94,5.42,7.48,NA,0,0,0.14,3,7.3,30.05,0.43,0.25,1.08,26.87,22.06,0.52,NA,0,2.45,NA,0,1.03,0.13,NA,NA,1.72,0.04,1.07,25.76,NA,NA,NA,2.12,6.82,0.15,8.48,0.11,29.72,55.13,82.55,12.96,0
Burkina Faso,NA,0.17,0,0,0.36,0,0,8.78,0.43,143.38,5.21,0.02,0.23,0,0.52,0,NA,0,0.28,0,0.04,NA,3.68,0,0.02,0.03,0,2.4,0.21,0,NA,1.11,4.42,0.03,0.01,0.53,16.86,0,0.03,0,77.01,0,2.13,NA,0.45,23.14,41.34,1.34,0,2.05,0.71,0,1.66,0.14,0.01,0,0,0,1.15,NA,4.79,0,0,3.8,0,2.03,0,0.41,0,0.29,2.27,14.26,0,0,35.88,0,0,0,0.96,0.04,43.01,0.01,0.73,0.32,9.03,NA,0,NA,0,0.01,5.27,2.23,0.17,2.06,12.94,13.74,0.75,3.9
C̫te d'Ivoire,NA,0.35,0,0,0.79,0,1.55,12.92,0.42,3.28,1.24,0.07,100.94,0,0.72,0.87,0,0,0.49,1.51,0.89,NA,0.95,0.02,0.05,0.02,0.49,2.05,0.09,0,0,2.72,7.29,0.93,0.05,0.41,5.85,0.02,0.08,0.01,20.46,0,3.94,NA,6.32,1.66,1.43,0.12,0,0.56,7.03,0.17,3.42,0.49,0.26,0.11,0,4.88,1.44,NA,7.57,0.85,0.06,10.76,0.02,1.72,1.32,0.43,50.76,1.39,2.53,0.62,0,0,98.07,0,2.69,0,0.09,0,1.56,0.03,0.02,0.28,8.87,NA,0,NA,0,0.29,1.89,1.25,0.09,5.1,26.31,25.58,2.08,194.11
Cabo Verde,NA,4.45,0.03,0,17.06,0,4.65,32.22,1.06,0.02,2.21,0,8.96,0.29,1.15,0.03,0,0,0,4.65,1.66,NA,0,0,0.49,0.05,3.13,4.82,0.38,NA,0,0.13,18.71,0.15,1.13,0,0.58,0.05,1.03,0.92,44.34,0,0.89,NA,0.22,52.57,NA,10.7,0.65,1.86,0.27,0.07,1.1,3.14,NA,2.12,0.36,11.32,4.66,NA,0.08,0,0.09,5.52,0.04,10.27,2.69,1.45,0,22.98,17.62,7.19,0,0,71.67,NA,0.04,0,0,0,NA,4.41,0.02,0.13,16.8,NA,NA,NA,NA,0.18,8.28,5.57,0.08,30.03,28.13,37.74,8.39,NA
Cambodia,NA,0.18,0,0,7.22,0,4.93,44.36,1.56,0.02,4.1,0.04,26.01,0.35,0,0,NA,0,0.74,0.53,1.19,NA,0,0.22,1.22,0,0.04,1.32,0.13,0,0,33.84,8.14,0.23,0.05,0.03,1.19,0.01,0.37,0.21,10.41,0,5.6,NA,0,3.31,0,4.52,1.12,0.01,0.24,0,1.22,0.02,0,0.01,0,0,5.87,NA,0.38,0.18,0.02,0.51,0.12,5.89,0.67,1.46,NA,0.2,2.34,0,0,0,238.03,0,2.38,0,1.7,0.01,NA,1.09,4.54,0,20.1,NA,8.43,NA,0,0.07,2.16,10.04,0.08,0.03,30.26,2.34,0.19,NA
