Area,"Alcohol, Non-Food",Apples and products,"Aquatic Animals, Others",Aquatic Plants,Bananas,Barley and products,Beans,Beer,"Beverages, Alcoholic","Beverages, Fermented",Bovine Meat,"Butter, Ghee",Cassava and products,Cephalopods,"Cereals, Other","Citrus, Other",Cloves,Cocoa Beans and products,Coconut Oil,Coconuts - Incl Copra,Coffee and products,Cottonseed,Cottonseed Oil,Cream,Crustaceans,Dates,Demersal Fish,Eggs,"Fats, Animals, Raw","Fish, Body Oil","Fish, Liver Oil",Freshwater Fish,"Fruits, Other",Grapefruit and products,Grapes and products (excl wine),Groundnut Oil,Groundnuts (Shelled Eq),Honey,Infant food,"Lemons, Limes and products",Maize and products,Maize Germ Oil,"Marine Fish, Other","Meat, Aquatic Mammals","Meat, Other",Milk - Excluding Butter,Millet and products,Miscellaneous,"Molluscs, Other",Mutton & Goat Meat,Nuts and products,Oats,"Offals, Edible","Oilcrops Oil, Other","Oilcrops, Other",Olive Oil,Olives (including preserved),Onions,"Oranges, Mandarines",Palm kernels,Palm Oil,Palmkernel Oil,Peas,Pelagic Fish,Pepper,Pigmeat,Pimento,Pineapples and products,Plantains,Potatoes and products,Poultry Meat,"Pulses, Other and products",Rape and Mustard Oil,Rape and Mustardseed,Rice and products,Ricebran Oil,"Roots, Other",Rye and products,Sesame seed,Sesameseed Oil,Sorghum and products,Soyabean Oil,Soyabeans,"Spices, Other",Sugar (Raw Equivalent),Sugar beet,Sugar cane,Sugar non-centrifugal,Sunflower seed,Sunflowerseed Oil,Sweet potatoes,"Sweeteners, Other",Tea (including mate),Tomatoes and products,"Vegetables, Other",Wheat and products,Wine,Yams
Cameroon,NA,0.3,0,0,31.11,0.05,11.88,27.47,0.01,42.44,3.24,0.01,98.84,0,0.1,0,0,0,0.04,0.02,0.09,NA,1,0.01,1.45,0.03,4.46,0.35,0.18,0,0,1.71,8.12,0.01,0.02,2.59,9.01,0.17,0.2,0.01,50.86,0,2.32,NA,3.09,8.6,3.73,0.78,0,1.28,1.81,0,0.92,0,1.38,0.01,0.01,11.29,0.61,NA,4.87,0.24,0.29,8.12,0,1.21,1.71,12.82,45.65,6.32,3.16,7.98,0,0,36.39,0,24.45,0,1.26,0,26.56,0,0.17,2.15,8.34,NA,0,NA,0,0,12.92,0.35,0.23,46.74,63.12,23.32,0.58,13.21
Canada,NA,18.16,0.11,0,15.44,0.33,0.99,59.35,0.09,19.36,18.13,4.39,0.11,0.07,0.21,0.15,0,0,0,0.43,7.03,NA,0.02,9.09,4.18,0.36,4.85,14.17,1.47,0,0,5.19,27.31,1.12,7.61,0.05,3.52,0.8,0.59,3.15,18.93,1.05,0.14,0,0.01,161.88,NA,10.63,3.04,0.99,2.66,2.35,0.18,10.23,0.04,1.03,0.74,9.03,15.24,NA,0,0,1.48,4.99,0.15,24.46,0.18,4.63,0.53,62.92,39.02,9.18,11.41,1,12.78,NA,0.21,0.58,0.18,NA,0,0.69,1.78,0.72,32.41,NA,NA,NA,NA,0.34,0.95,59.63,0.46,19.32,73.22,83.54,10.71,0.39
Caribbean,NA,1.37,0.01,0,24.69,0.12,8.34,23.8,7.17,0.17,6.22,0.19,24.01,0.08,0.21,0.21,0.01,0.01,0.57,8.15,2.14,0,0.01,0.02,0.51,0,1.49,6.06,1.33,0,0,1.51,74.03,3.31,0.73,0.07,0.98,0.06,0.48,2.55,19.39,0.09,2.17,NA,1.75,64.17,0,2.86,0.35,0.82,0.12,0.34,2.61,0.64,0.01,0.09,0.08,5.32,8.61,NA,3.22,0.01,0.22,3.37,0.03,10.43,0.37,10.74,43.55,8.86,26.7,5.47,0.12,0,65.44,0,5.96,0,0.1,0,0.92,6.57,1.23,0.29,35.82,0,0,0.37,0.01,0.21,19.89,2.9,0.04,20.19,43.52,43.4,1.04,12.28
Central African Republic,NA,0.1,NA,0,21.78,0,0.27,5.85,0.03,10.78,19.75,0,153.05,0,0,0,NA,0,0,0,1.93,NA,0.02,0,0,0,0,0.49,1.17,0,NA,6.36,4.51,1,0,6.09,0,3.34,0.02,0.69,20.18,0,0.41,NA,4.55,16.9,1.95,0.57,0.02,5.51,0,0,4.17,0,5.32,0.01,0,0.07,5.42,0,0.14,0,0,0.94,0,3.8,0.03,3.05,7.22,0.17,2.29,8.32,0,0,6.34,0,26.37,0,1.37,0.62,5.71,0,0,0,3.19,NA,0,NA,NA,0.06,0,0.22,0.01,0.15,18.25,3.15,0.1,86.81
Central America,NA,6.1,0.22,0,9.95,0.08,9.8,51.83,2.08,0.06,12.79,0.46,1.03,0.38,0.06,0.37,0,0,0.02,0.98,1.01,NA,0.02,0.08,1.94,0.04,1.28,16.43,1.63,0,0,3.59,32.68,2.04,1.79,0.06,1.94,0.15,0.12,9.24,110.91,0.27,0.3,NA,0.51,107.79,0,1.34,0.82,0.63,1.43,0.91,4.28,0.5,0.01,0.15,0.11,8.57,28.75,NA,3.37,0,0.15,3.81,0.05,13.77,0.37,7.6,3.39,13.87,29.77,1.44,1.18,0,16.34,0,1.5,0,0.33,0.1,0.6,4.15,0.18,0.85,38.73,NA,0,0.28,0.03,0.31,0.26,9.79,0.04,17.47,41.22,33.8,0.27,0.1
Central Asia,NA,19.24,0,0,0.6,4.47,0.72,12.7,3.53,0.04,22.62,0.52,0,0.01,1.01,0.02,0,0.08,0.04,0.01,0.36,NA,4.17,1.57,0.02,0.36,0.09,6.43,1.42,0,0,1.83,26.27,0.06,24.05,0,0.5,0.19,0.15,0.16,6.22,0.18,0.15,NA,1.66,204.3,0.09,2.46,0.01,7.93,1.26,0.7,3.58,1.54,0,0.02,0.05,26.77,1.02,NA,0,0,0.33,0.44,0.06,2.74,0.04,0.11,0.01,65.14,6.74,0.03,0.38,0,11.88,0,0,0.16,0.09,0,0,0.43,0.03,0.05,15.99,NA,0,NA,0.38,6,0,3.26,1,57.81,141.91,143.55,1.6,NA
Chad,0,0,0,0,0,0,7.27,4.15,0.01,1.53,8.26,0.05,14.47,0,26.17,0,0,0,0,0,0,NA,0.3,0,0,1.18,0,0.34,1.34,0,0,7.15,6.02,0.1,0,2.83,17.07,0.07,0,0.01,14.76,0,0.01,NA,0.95,40.56,37.18,0.44,0,16.76,0,0,8.42,0,1.18,0,0,1.16,0.01,NA,0,0,NA,0.02,0,0.06,0,0,NA,2.32,0.45,2.44,0,0,16.82,0,1.56,0,2.56,0,48.52,0,0,0,8.86,NA,0,0.02,0,0,5.26,0.29,0.06,0.04,5.09,4.96,0.01,24.42
Chile,NA,11.22,0.21,0,9.32,0.67,1.19,50.43,2.39,0.02,21.23,1.51,0.02,0.64,0.99,0.04,0,0.19,0,0.1,0.76,0,0,0.07,2.15,0,1.96,10.49,0.84,0,0,1.33,18.26,0.02,5.43,0,0.92,0.34,0,3.3,20.77,0.06,0.16,0,0.62,94.62,NA,4.09,0.76,0.48,1.61,2.28,0.71,1.89,0,0.39,2.18,16.8,2.87,NA,0,0,0.38,4.78,0.02,24.47,0.04,2.06,0.36,62.88,36.36,2.05,1.38,0,13.26,NA,0,0.19,0.03,0,NA,2.01,0.19,0.13,44.64,NA,NA,NA,NA,1.62,0.9,3.15,0.88,7.33,47.68,108.68,14.36,NA
China,NA,19.78,0.69,0,6.95,0.55,0.08,31.15,5.32,1.82,5.58,0.09,1.73,0.62,0.6,3.27,0,0,0.1,0.4,0.11,NA,0.44,0.1,4.57,0.11,3.39,22.72,1.7,0,0,17.61,38.6,2.82,7.12,0.66,5.28,0.28,0.21,1.38,7.66,0.29,1.62,NA,1.25,24.05,0.5,0.19,9.98,3.25,2.94,0.13,3.99,0.1,0,0.03,0,14.33,16.56,NA,1.83,0.07,0.49,0.39,0.03,37.63,0.09,1.35,0,42.8,12.88,0.81,1.29,0,121.78,0.08,1.11,0.15,0.26,0.2,1.46,2.47,4,0.21,7.23,0,0.06,0.24,0,0.18,20.96,0.49,1.45,34.14,328.7,62.75,1.88,0
"China, Hong Kong SAR",NA,7.65,1.03,0.16,8.19,0.05,0.64,23.36,2.05,1.14,20.1,0,0.89,3.46,2.35,0.03,0,0.01,0.14,0.52,2.16,NA,0,0,13.51,0.01,7.41,18.53,0.59,0,0,14.74,27.87,0.75,2.71,1.29,1.94,0.42,0.05,3.6,4.57,0.82,13.18,NA,2.99,33.25,NA,28.19,15.32,1.36,7.9,1.63,32.82,1.21,0,0.53,0.07,1.25,15.97,NA,0,0,0.01,3.13,0.06,59.1,0.11,2.22,0,8.91,53.51,0.4,1.23,0,68.46,NA,0.32,NA,0.1,0.21,NA,2.15,2.48,0.39,26.53,NA,0,NA,0,0.2,0.16,26.39,1.58,2.49,126.11,56.5,4.87,0
"China, Macao SAR",NA,4.83,0.79,0,5.91,0.15,0.8,23.89,4.28,5.67,13.21,0,0.65,2.59,2.13,0.06,NA,0,0.02,0.5,2.13,NA,0.01,0,11.97,0.03,0.72,18.17,1.8,0,0,14.33,17.77,1.61,2.38,0.91,1.95,0.13,2.19,1.21,0.39,1.4,14.22,NA,1.72,31.61,0,37.42,11.95,0.72,2.4,1.07,6.01,1.21,0,0.61,0.15,7.37,7.54,NA,0.19,0,0,0.56,0.36,53.02,0.03,1.49,0,10.45,34.47,0.28,6.05,0,57.15,NA,3.69,0,0.12,0.26,0,2.61,3.85,0.55,16.95,NA,1.25,NA,0,0.08,0.64,75.5,1.38,6.92,120.29,49.78,9.21,0.42
"China, mainland",NA,20.07,0.7,0,6.86,0.55,0.05,31.22,5.36,1.83,5.51,0.08,1.76,0.53,0.59,3.31,0,0,0.09,0.39,0.09,NA,0.45,0.1,4.54,0.11,3.37,22.89,1.71,0,0,17.83,38.54,2.85,7.16,0.66,5.35,0.27,0.21,1.37,7.67,0.29,1.54,NA,1.26,23.9,0.51,NA,10,3.3,2.87,0.1,3.88,0.08,NA,0.03,0,14.55,16.63,NA,1.81,0.07,0.48,0.33,0.03,37.5,0.09,1.03,0,43.62,12.33,0.82,1.31,0,122.93,0.08,1.1,0.15,0.26,0.2,1.5,2.23,3.9,0.19,6.79,NA,0,0.24,NA,0.17,21.36,0.3,1.45,34.79,333.54,63.03,1.88,NA
"China, Taiwan Province of",NA,6.26,0.36,0,11.92,0.91,1.59,29.39,3.87,1.39,5.02,0.75,0,4.84,0.6,2.01,0.01,0,0.2,0.92,0.27,NA,NA,0,3.44,0.01,3.57,13.96,1.27,0,0,5.53,45.73,1.51,6.14,0.26,2.11,0.37,0.25,1.02,7.85,0.24,2.56,NA,0.05,29.84,0.11,2.15,6.64,0.92,5.36,0.86,1.93,0.57,0.05,0.19,0.13,5.57,12.49,NA,3.74,0.01,0.84,3.11,0.13,38.41,0.14,20.36,NA,4.99,33.17,0.23,NA,0,70.69,NA,2.21,NA,0.17,0.42,NA,17.01,10.24,1.04,27.47,0,3.62,NA,0.1,0.75,3.69,2.2,1.49,5.81,106.37,48.1,0.78,0.09
Colombia,NA,2.15,0,0,37.45,1.37,1.92,46.65,1.75,0.03,14.68,0.45,37.71,0.1,0,11.14,0,0,0,2.43,0.07,NA,0.07,0.02,0.16,0,0.14,12.79,0.81,0,0,3.39,43.17,0,1.37,0,0.6,0.07,0.21,3.11,33.35,0.01,0.54,NA,0.12,121.81,NA,1.01,0.08,0.15,1.49,1.19,2.72,3.09,0,0.04,0.02,12.3,7.89,NA,7.25,0.37,1.78,2.76,0.01,8.95,NA,16.46,55.42,33.29,31.99,1.81,0.04,0,55.22,NA,2.53,0,NA,0.02,0.02,3.56,0.5,0.53,34.36,0.44,0,24.68,NA,0.42,NA,15.63,0.02,15.44,20.98,36.33,0.39,5.6
Congo,NA,0.48,0,0,14.6,0,1.77,60.16,0.5,0.08,2.81,0.06,268.71,0.16,0,0.01,0,0,0,0.63,0.17,NA,0,0.03,0.12,0.01,10.03,0.56,0.05,0,0,8.34,14.87,0.82,0.03,0.61,2.95,0.01,0.27,0.95,3.41,0,2.08,NA,9.3,1.18,NA,1.85,0.06,0.35,0.02,0.2,3.73,0.08,0.65,0.02,0.04,3.13,0.92,0,6.96,0,1.17,8.55,0.02,6.12,0.01,0.7,15.65,1.56,21.53,0.01,0.01,0,30.61,0,10.45,0,0.05,0,NA,0.27,0.01,0.02,16.85,NA,0,NA,NA,0.27,1.28,0.18,0.04,3.49,24.65,42.44,0.05,2.85
Costa Rica,NA,3.59,0.01,0,0.01,2.61,11.07,14.42,6.76,0.12,13.58,1.46,1.38,0.36,0.01,0.05,0,0,0.02,0.91,4.3,NA,0,NA,1.28,0.01,0.57,10.51,0.66,0,0,6.74,30.85,3.75,2.72,0,1.15,0.27,0.38,7,14.21,0.12,0.65,NA,0,172.63,NA,0,0.66,0.01,0.55,0.87,1.61,0.86,0,0.32,0.13,6.65,22.5,NA,6.59,0,0.08,8.21,0.31,13.44,0.03,44.38,17.09,15.17,26.52,0.43,NA,0,63.46,NA,3.75,NA,NA,0.07,NA,11.02,1.7,0.25,47.94,NA,NA,2.04,0.15,0.92,0,3.82,0.11,12.64,22.08,38.92,2.24,1.43
Croatia,NA,9.44,0.01,0,13.77,1.06,0.62,84.22,3.57,0,12.31,1.57,NA,2.94,0.71,0.12,0,0,0,0.35,4.95,NA,0,0,0.87,0.07,4.19,8.06,3.11,0,0,1.29,14.92,0.5,16,0,1.16,2.2,NA,3.07,8.18,2.03,0.08,NA,1.11,242.15,NA,NA,0.55,1.52,1.55,0.07,3.85,0.42,0.22,0.74,5.08,8.8,10.47,NA,0,0,0,8.82,0.1,49.58,0.17,1.02,0.11,36.84,10.77,0.14,NA,0,2.54,NA,0,0.73,0.09,0,NA,0.44,0.01,0.21,36.02,NA,NA,NA,NA,4.11,0,24.72,0.06,13.6,232.72,104.36,13.78,NA
Cuba,NA,0.36,0,0,21.44,NA,13.99,25.11,8,0.06,6.6,0.24,34.39,0.04,0.03,0.2,0,0,0,4.52,1.11,NA,0,0,0.21,0,0.8,8.89,1.79,0,0,2.44,59.85,1.73,0.45,0.06,0.34,0.07,0.03,0.76,33.5,0,0.39,NA,5.41,94.55,NA,1.3,0.36,1.18,0.01,0,2.46,0.21,NA,0.02,0.06,8.77,3.52,NA,0.07,0,NA,1.45,0,18.56,0.01,3.42,60.89,12.25,23.72,5.15,NA,0,73.81,NA,10.53,0,0,0,NA,7.17,4.08,0.13,52.9,NA,0,NA,0,0.14,24.6,0.45,0,45.96,86.73,60.42,1.61,5.32
Cyprus,NA,10.13,0.02,0,9.35,0,1.08,30.87,2.5,1.01,6.72,0,0.04,4.55,0.42,0.73,0,0.03,NA,0.14,2.9,NA,0.06,0,2.44,0.12,5.21,7.87,0.38,0,0,4.9,18.56,6.01,4.87,0.02,1.86,0.64,1.16,5.75,2.62,0.55,0.73,NA,1.25,113.33,NA,19.18,3.1,5,2.44,0.41,2.17,1.35,0,2.12,1.96,4.27,26.54,NA,NA,NA,0.09,4,0.09,34.77,0.03,1.8,1.03,23.11,25.08,1.72,0.76,0,5.15,NA,1.03,0.04,1.24,0.03,NA,3.19,0.07,0.29,19.05,0,0,0.01,0.15,8.26,0.07,38.09,0.33,21.12,75.82,88.13,12.81,NA
Czechia,NA,12.07,0.01,0,11.02,0.13,0.17,147.72,12.67,1.04,10.34,4.07,NA,0.04,1.19,0.33,0,0,NA,0.2,2.12,NA,NA,5.39,0.37,0.16,2.55,8.63,6.09,0,0,2.5,13.04,0.76,5.86,0.13,0.68,0.84,0.54,3.09,0,0.01,0.81,NA,4.34,190.93,NA,1.37,0.12,0.32,0.83,2.29,2.33,0.05,0,0.46,0.72,9.18,10.74,NA,0,NA,1.17,2.93,0.07,45.82,0.3,1.69,0.27,59.05,21.96,0.64,12,0,6.91,NA,0,5.43,NA,NA,NA,1.43,0.05,0.18,35.82,NA,NA,NA,NA,3.05,0.04,29.54,0.21,10.31,59.24,83.04,9.82,NA
Democratic People's Republic of Korea,NA,30.43,0.01,0,0.3,0.43,10.84,1.91,6.93,0,0.79,0.01,0,1.25,0,0,NA,0,0,NA,0.14,NA,0.17,0,0.52,0,4.26,4.6,NA,0,0,0.38,28.94,0,0.02,0,0.02,NA,0.01,0.01,41.29,1.17,4.07,NA,6.06,3.1,1.84,0.68,0.66,0.57,0.42,0,0.65,0,NA,0,0,3.29,0.76,NA,0.36,0,NA,0.25,0,4.64,NA,0.01,0,48.2,1.62,0,NA,NA,110.64,0.5,NA,0,NA,0,1.16,5.44,2.03,NA,3.41,NA,0,NA,NA,0.03,13.33,0.22,NA,2.32,120.6,21.41,0.01,NA
Denmark,NA,1.84,0.02,0,11.95,0.04,0.12,64.85,3.55,0.14,25.38,2.59,NA,0.05,0.04,0.73,0.01,0,0,0.32,7.08,NA,0,11.65,5.24,0.57,4.96,15.79,6.08,3.57,0,0.73,23.77,0.48,6.59,0,0.91,0.65,0,2.21,3.65,0.13,0.06,NA,1.35,307.03,NA,NA,1.26,0.9,2.19,5.13,6.44,0.47,0.02,1,0.67,9.71,8.77,NA,0,0,0.38,10.41,0.17,14.21,0.12,2.84,0.09,59.87,28.98,0.21,0,0,4.58,NA,0,23.46,NA,0.16,NA,0,0.15,1.19,42.38,NA,0,NA,NA,0,0,12.26,0.75,12.78,78.41,92.47,25.48,0
Djibouti,NA,0.06,0,0,1.88,1.06,2.42,2.55,0.43,0.01,6.73,0,NA,0,0.08,0,0,0,0.29,0,0.84,NA,0,0,0.07,2.56,0.71,1.1,0.5,0,NA,0.02,17.87,0,0.27,0,0.15,0.02,0.43,3.71,0.36,0,0.28,NA,0.75,25.1,NA,9.78,0.02,4.8,0.35,0.65,2.22,2.45,NA,0.13,0.02,16.82,1.54,NA,9.23,0.09,9.69,2.59,0.31,0.08,0.58,0.36,0,16.01,2.68,1.47,0,0,45.88,NA,0.07,NA,0,0,2.75,1.18,0,0.41,33.16,NA,NA,NA,NA,0.56,0,3.07,0.28,15.87,51.56,124.14,0.27,0
Dominica,NA,0.43,0,0,54.17,3.89,1.22,7.37,8.92,0.85,8.46,0,7.13,0,0.05,0.65,0,1.54,2.06,21.63,3.22,NA,0,0,0.6,NA,2.54,2.46,0.63,NA,0,1.72,38.63,172.16,1.27,0,0.23,0,0.01,17.85,5.96,0,2.76,NA,0.13,87.45,NA,13.33,0,0.97,0.07,1.07,2.41,1.49,NA,0,0,3.36,73.85,NA,0,0,0.14,20.45,0,10.27,0,2.61,20.13,9.98,35.19,3.1,0,0,12.71,NA,54.74,0.01,NA,NA,NA,3.64,0.01,2.99,39.71,NA,0,NA,0,0.32,8.67,23.06,0.28,4.87,83.49,43.58,1.48,54.9
Dominican Republic,NA,3.2,0.01,0,39.64,0,5.73,46.51,3.35,0.1,8.68,0.41,14.54,0.14,0.13,0.01,0.03,0,0.79,17.47,2.2,NA,0,0,0.51,0,3.23,10.17,1.36,0,0,1.53,125.38,0.61,1.19,0.14,0.23,0.03,1.07,2.71,5.51,0.26,0.69,NA,0.02,96.57,0,0.37,0.29,0.21,0.17,0.18,4.05,0.44,0.02,0.22,0.18,5.66,11.87,NA,8.1,0,0.14,3.17,0.03,11.08,0.05,31.98,74.41,8.6,35.26,3.41,0.44,0,75.18,NA,2.74,0,0.03,0,NA,9.64,0.03,0.3,31.63,0,0,NA,NA,0.4,3.48,1.99,0.04,17.2,20.34,28.25,0.69,2.51
Eastern Africa,NA,0.23,0,0,21.42,4.51,9.54,10.31,0.5,17.74,5.02,0.13,53.38,0.02,9.58,0.34,0.04,0.01,0.16,1.36,0.8,NA,0.18,0.07,0.09,0.03,0.17,0.92,0.27,0,0,3.92,11.07,0.09,0.06,0.15,2.53,0.28,0.02,0.23,60,0.23,0.94,NA,0.96,35.25,3.41,0.52,0.02,1.1,0.55,0.01,1.19,1.12,0.08,0.01,0,3.82,2.55,NA,2.37,0.06,1.44,0.5,0.04,1.6,0.84,2.63,14.23,17.2,1.82,7.53,0.06,0,24.83,0,15.06,0,0.2,0.16,8.66,0.54,0.63,0.14,10.77,NA,0.34,0.1,0.38,1.03,35.98,1.27,0.45,4.14,20.67,24.42,0.1,2.47
Eastern Asia,NA,18.23,0.67,0.86,6.83,0.56,0.33,30.85,5.66,2.96,6.13,0.17,1.52,1.01,0.61,2.9,0,0,0.13,0.35,0.41,NA,0.4,0.08,4.58,0.1,4.14,21.79,1.58,0.02,0,15.86,35.86,2.53,6.49,0.58,4.73,0.28,0.18,1.25,8.79,0.32,1.88,NA,1.22,26.48,0.48,0.45,9.47,2.96,2.73,0.12,3.81,0.35,0,0.06,0.01,14.28,15.48,NA,1.78,0.06,0.44,1.84,0.03,35.82,0.09,1.35,0,40.07,13.24,0.75,1.71,0,118.26,0.1,1.13,0.13,0.27,0.19,1.3,2.78,4.32,0.27,8.24,0.2,0.05,0.21,0,0.19,18.94,1.75,1.34,30.69,300.21,60.43,1.88,0.08
Eastern Europe,NA,14.38,0.03,0,7.76,1.87,0.34,63.79,6.26,1.38,9.76,2.67,0,0.41,1.4,0.06,0,0.39,0,0.1,1.68,0,0,3.1,0.39,0.12,5.03,13.74,1.49,0,0,3.91,19.57,0.78,3.31,0.02,0.86,0.37,0.18,1.75,6.72,0.12,0.16,NA,2.35,168.87,0.36,0.86,0.38,1.05,0.77,2.36,3.1,2.78,0.01,0.15,0.62,16.12,8.2,NA,0.06,0,1.34,4.78,0.24,31.34,0.29,0.77,0.47,106.7,27.5,0.52,1.4,0,5.79,NA,0,8.54,0.04,0,0.13,0.78,0.1,0.17,37.51,NA,0,NA,0.05,8.2,0.02,29.37,0.69,29.14,80.03,117.41,7.64,0
Ecuador,NA,3.7,0.37,0,12.65,0.06,0.11,35.86,0.78,0,12.61,0.11,4.65,0.02,0.04,1.12,0,0,0,0.26,0.04,NA,0,0.16,0.96,0,2.48,7.78,1.17,0,0,1.11,22.5,0.26,1.01,0,1.58,0.05,0.39,1.96,41.33,0.03,0.06,NA,0.06,107.93,NA,1.33,0.01,0.2,0.18,3.8,2.48,0.93,NA,0.09,0.05,0,9.84,NA,8.06,0,0.21,3.14,0,13.04,0,3.88,33.69,20.38,19.31,1.45,NA,0,60.09,0,0.37,0,0.01,0,NA,4.61,0,0.2,18.59,NA,0,0,0.05,1.82,0.19,0.94,0.04,4.86,23.31,62.79,0.48,NA
Egypt,NA,9.38,0,0,11.46,0.13,0.33,0.98,0.04,0,10.76,0.48,0,0.06,0,0.05,0,0,0.05,0.05,0.3,NA,0,0.58,0.24,14.7,4.76,3.45,0.28,0,0,14.11,20.95,0,14.78,0.17,1.06,0.04,0.1,2.87,61.03,0.42,0.15,NA,1.25,41.22,0,0.17,0.06,1.31,0.4,0.02,4.74,0.49,0,0.19,8.06,17.46,29.48,NA,0,0.13,0.14,4.32,0.07,0.01,0.55,0.06,0.03,36.7,12.96,4.12,NA,0,52.87,NA,0.69,0,0.6,NA,2.35,2.63,0,0.35,25.54,NA,30.41,NA,NA,1.66,2.86,1.31,1,66.88,74.99,145.72,0.05,NA
El Salvador,NA,3.41,0,0,9.98,0,16.95,21.4,3.29,0.04,6.31,0.1,6.3,0.06,0.1,0.02,0,0,0.17,14.82,2.98,NA,0,0.07,0.43,0,0.05,8.73,1.12,0,0,1.36,20.83,0.01,1.09,0,0.44,0.05,0.61,2.34,73.77,0.04,0.15,NA,0,101.26,NA,6.25,0.03,0.02,0.18,0.28,0.92,2.56,0,0.52,0.05,6.06,15.17,NA,0,0,0,4.55,0.02,3.76,0.05,0.42,15.69,13.41,20.43,0.03,0,0,14.67,0,6.2,0,0.13,0.01,11.22,1.64,0.84,0.08,37.89,NA,NA,0,0.05,0.35,0.12,2.92,0.09,17.09,61.1,35.86,0.37,0
Estonia,NA,17.21,0.01,0,14.72,9.99,3.03,92.76,19.8,0,7.44,4.27,NA,0.15,1.4,0.1,0.01,0,0.1,0.03,4.06,NA,0,5.05,2.95,0.09,7.35,12.69,0.07,0,0,1.36,19.72,1.22,2.12,0,0.25,0.87,0,1.99,8.93,0.28,0,NA,0.11,357.43,NA,3.1,0.6,0.46,1.83,4.79,3.01,3.56,NA,0.43,0.44,6.84,13.35,NA,0,0,NA,2.3,0.24,34.36,0.44,1.73,0.14,66.91,21.26,0.01,2.48,0,2.5,NA,NA,20.83,NA,0,NA,0.02,0.1,0.5,17.15,NA,NA,NA,NA,0.3,0.01,31.32,0.32,13.91,81.6,82.71,15.38,NA
Eswatini,NA,3.61,0.02,0,1.57,NA,2,15.01,0,50.01,16.97,0.21,0,0.03,0.51,0.71,0,0.03,0.01,0.01,0.25,NA,0.09,NA,0.03,0.3,1.41,1.68,0.88,0,0,0.26,12.14,17.63,0.55,0.05,2.79,0,0,0,67.66,0,1.23,NA,0.27,41.85,NA,7.13,0.02,2,0.95,0.08,2.79,0.2,0,0.06,0.01,4.5,22.68,NA,0.07,NA,0.08,0.91,0.03,1.91,0,31.9,NA,11.74,6.46,1.73,0.07,0,43.97,NA,42.92,NA,0,0,1.61,0.58,0.16,1.69,21.32,NA,NA,NA,0.07,2.34,1.98,12.53,0.41,6.38,16.5,43.58,1.26,NA
Ethiopia,NA,0.02,0,0,4.66,15.59,2.83,10.8,0.01,6.92,3.52,0.01,NA,0,32.59,0.03,0,0,0,0,2.05,NA,0.05,0,0,0,0,0.43,0.18,0,0,0.42,3.31,0,0.04,0.02,1.03,0.44,0.01,0.06,41.55,0,0,NA,1.09,30.86,7.85,0.12,0,0.64,0.58,0,1,0.78,0.16,0,0,3.19,0.29,NA,2.3,0,3.74,0.02,0.04,0.02,2.74,0.11,NA,6.64,0.13,15.28,0.15,0,4.63,0,49.51,0,0.06,0.02,21.91,0.04,0.4,0.32,8.31,NA,0,NA,0,0.02,17.56,0.78,0.09,0.09,10.07,35.64,0.02,8
