Area,"Alcohol, Non-Food",Apples and products,"Aquatic Animals, Others",Aquatic Plants,Bananas,Barley and products,Beans,Beer,"Beverages, Alcoholic","Beverages, Fermented",Bovine Meat,"Butter, Ghee",Cassava and products,Cephalopods,"Cereals, Other","Citrus, Other",Cloves,Cocoa Beans and products,Coconut Oil,Coconuts - Incl Copra,Coffee and products,Cottonseed,Cottonseed Oil,Cream,Crustaceans,Dates,Demersal Fish,Eggs,"Fats, Animals, Raw","Fish, Body Oil","Fish, Liver Oil",Freshwater Fish,"Fruits, Other",Grapefruit and products,Grapes and products (excl wine),Groundnut Oil,Groundnuts (Shelled Eq),Honey,Infant food,"Lemons, Limes and products",Maize and products,Maize Germ Oil,"Marine Fish, Other","Meat, Aquatic Mammals","Meat, Other",Milk - Excluding Butter,Millet and products,Miscellaneous,"Molluscs, Other",Mutton & Goat Meat,Nuts and products,Oats,"Offals, Edible","Oilcrops Oil, Other","Oilcrops, Other",Olive Oil,Olives (including preserved),Onions,"Oranges, Mandarines",Palm kernels,Palm Oil,Palmkernel Oil,Peas,Pelagic Fish,Pepper,Pigmeat,Pimento,Pineapples and products,Plantains,Potatoes and products,Poultry Meat,"Pulses, Other and products",Rape and Mustard Oil,Rape and Mustardseed,Rice and products,Ricebran Oil,"Roots, Other",Rye and products,Sesame seed,Sesameseed Oil,Sorghum and products,Soyabean Oil,Soyabeans,"Spices, Other",Sugar (Raw Equivalent),Sugar beet,Sugar cane,Sugar non-centrifugal,Sunflower seed,Sunflowerseed Oil,Sweet potatoes,"Sweeteners, Other",Tea (including mate),Tomatoes and products,"Vegetables, Other",Wheat and products,Wine,Yams
Northern Africa,NA,8.9,0,0,10.52,8.2,0.48,2.17,0.06,0.01,8.26,0.58,0,0.08,0.05,0.61,0,0,0.05,0.04,1.18,NA,0.04,0.34,0.21,12.71,2.63,4.7,0.41,0,0,6.31,23.78,1.29,10.41,1.06,1.04,0.09,0.15,2.95,35.85,0.33,0.32,NA,1.55,72.96,2.78,0.62,0.04,4.4,1.38,0.03,3.3,1.26,0.18,0.98,4.84,24.15,25.38,NA,0.32,0.06,0.33,5.18,0.06,0.01,0.49,0.11,0.03,38.67,11.17,5.59,0.05,0,24.31,0,0.3,0.01,0.53,0.15,12.87,3.78,0.07,0.47,28.91,NA,14.33,0,0,2.02,2.25,1.32,0.92,44.62,78.63,143.52,0.27,0.75
Northern America,NA,17.66,0.05,0,12.33,0.19,2.67,79.67,5.7,2.02,35.16,2.45,0.05,0.58,0.62,0.02,0,0,0.18,0.25,4.66,NA,0.39,0.93,6.2,0.2,4.61,15.43,1.13,0,0,5.08,21.43,1.38,6.86,0.18,4.56,0.66,0.06,4.54,12.74,1.91,0.03,0,0.73,245.43,NA,1.08,2.98,0.56,3.43,3.37,0.37,1.31,0.01,0.98,0.6,11.27,19.77,NA,0,0.05,0.69,2.9,0.19,29.46,0.34,5.11,1.05,53.79,53.99,1.2,2.71,0,10.98,NA,0.32,0.66,0.07,NA,0.37,12.29,0.28,0.44,32.91,NA,NA,NA,0.49,0.14,2.81,34.95,0.47,30.86,70.08,81.11,8.28,0.12
Northern Europe,NA,12.98,0.01,0,14.5,2.03,0.27,72.71,3.01,1.42,18.38,3.26,0,0.16,0.37,0.46,0,0,0.01,0.28,4.54,0,0,4.04,4.07,0.25,8.54,11.63,1.69,0.2,0,4.6,21.33,1.25,4.83,0.04,1.95,0.73,0.61,2.19,3,0.27,0.3,NA,1.12,255.43,NA,12.79,1.05,3.44,1.64,5.29,2.06,1.6,0.04,0.97,0.69,8.4,20.18,NA,0,0,1.87,5.55,0.16,26.74,0.13,2.66,0.5,80.84,28.24,1.2,5.17,0,6.51,NA,0.01,4.77,0.1,0.04,NA,1.64,0.22,0.76,33.94,0,0,NA,0.11,2.01,0.08,13.29,1.24,14,63.13,96.95,19.32,0.12
Norway,NA,13.08,0.01,0,15.47,7.46,0.11,51.29,1.77,1.27,19.63,3.09,NA,0.06,0.02,0.14,0,0,0,0.14,8.76,NA,NA,7.05,10.29,0.26,23.36,11.58,1.3,0,0,10.85,22.88,0.49,5.63,0.3,1.63,0.34,0.39,1.86,0,0.03,0.05,NA,0.75,252.82,NA,68.1,0.84,5.23,1.85,5.75,1.67,12.42,0.53,0.74,0.51,1.15,17.81,NA,0,NA,3.38,5.9,0.09,22.81,0.05,2.38,0.03,51.8,19.05,2.5,0,0,4.66,NA,0,7.74,0.29,0.01,NA,1.19,0.3,0.3,27.23,0,NA,NA,2.14,1.56,0.71,14.77,0.25,9.72,62.29,86.14,16.6,0.01
Oceania,NA,11.67,0.11,0,15.16,0.04,0.25,70.65,1.96,1.28,31.22,4.38,1.39,1.06,1.45,0.39,0.01,0.02,0.22,7.07,4.17,0,2.42,0.18,4.17,0.26,6.52,8.02,1.62,0,0.01,3.8,21.93,0.26,6.37,0.06,2.38,0.72,0.33,1.19,4.4,0.15,2.37,NA,2.1,186.88,0,8.19,2.5,10.79,4.79,1.65,6.36,4.62,0.01,1.32,2.16,7.48,9.69,NA,2.62,0,0.54,6.11,0.13,24.24,0.14,5.11,0.02,45.02,43.96,1.03,6.62,0,18.68,NA,5.03,0.02,0.02,0.15,0,0.95,0.72,0.52,36.79,0.02,0.08,NA,0.04,0.69,5.88,11.51,0.54,16.59,65.87,77.01,17.02,1.71
Oman,NA,5.02,0,0,3.15,0,0.25,3.72,NA,NA,7.62,0,0.19,0.16,0.12,0.29,0.02,0,0.15,0.47,1,NA,0,0,0.95,52.27,13.42,8.15,0.81,0,0,0.5,59.26,0.06,2.77,0,0.31,0.39,0.6,3.11,12.68,1.27,3.24,NA,2.43,108.26,NA,0,0.04,11.65,0.74,0.43,2.68,0.55,0.02,0.3,0.79,19.88,11.81,NA,6.86,NA,0.35,10.23,0.16,0.01,0.32,0.77,0.4,23.86,21.63,3.34,NA,0,47.26,NA,0.04,0.02,0.03,0.02,NA,0.56,0.03,2.76,23.29,0.11,NA,NA,0.14,0.22,0.02,13.09,0.98,44.36,90.36,76.95,NA,0.01
Pakistan,NA,2.54,0.01,0,0.37,0.32,1.14,0.07,0,0.01,8.62,0.01,0,0.04,0.28,0.14,0.01,0,0,0.19,4.08,NA,0.32,0.01,0.02,1.63,0.06,3.36,0.88,0,0,1.28,8.64,0,0.77,0.14,0.12,0.02,0.07,0.42,13.24,0.01,0,NA,0.08,184.57,0.7,0.04,0.01,2.3,0.8,0.01,1.85,0.3,0.63,0.02,0.01,8.43,8.01,NA,1.73,0.05,1.87,0.31,0.04,NA,0.65,0.13,0,14.7,5.86,3.55,0.1,0,17.1,0.03,2.34,0,NA,0,0.92,0.13,2.41,0.81,23.77,NA,16.83,1.02,NA,0.4,0.06,0.27,0.86,1.97,10.42,104.8,0,NA
Panama,NA,3.47,0.04,0,12.21,0.01,2.03,82.24,2.2,0.11,17.03,1.48,4.22,2.12,0.27,0.07,0.01,0,0.01,3.18,1.49,NA,0,0,0.67,0.01,0.84,6.01,1.74,0,0,0.86,12.16,0.09,1.95,0,0.17,0.04,1.15,0.24,32.58,0.1,0.77,NA,0.77,69.88,NA,8.55,0.43,0.01,0.47,1,3.75,3.63,0,0.29,0.23,6.6,9.41,NA,0.26,NA,0.37,7.42,0.04,13.38,0.02,17.72,29.86,11.06,33.82,2.99,0.54,0,122.27,NA,0.3,0,NA,0.04,NA,4.64,2.18,0.14,30.32,NA,NA,0.47,0.13,0.46,0.02,24.36,0.08,8.37,10.46,30.06,1.94,2.36
Paraguay,NA,1.85,0,0,1.79,0.2,5.48,43.67,4.07,0.93,18.61,0.05,158.22,0.01,0.15,0,0,0,NA,0.06,0.53,NA,0.2,0,0.03,0.02,0.01,12.08,2.87,0,0,3.6,16.1,3.73,0.09,0.04,1.62,0.25,0.28,1.5,64.17,0,0.01,NA,0.05,71.14,0,2.11,0.07,0.58,0.02,0.1,6.25,0.45,0,0.07,0.1,4.14,39.59,NA,0.54,0.81,0.76,0.44,0.01,28.83,0,8.14,0.09,2.99,5.99,2.03,NA,0,7.07,NA,0,NA,1.44,NA,NA,10.31,0.01,0.1,27.52,NA,NA,NA,0.25,1.91,6.32,4.43,12.99,10.34,35.14,29.44,3.6,NA
Peru,NA,5.64,0.02,0,0.87,3.97,2.12,45.75,4.15,0,4.71,0.17,28.6,0.68,0.88,1.31,0.01,0,0,1.01,3.37,NA,0.13,0.01,0.9,0,3.69,8.95,0.25,0,0,3.17,25.92,0.15,4.15,0,0.67,0.05,0.23,3.43,23.57,0,1.96,0,1.08,56.68,NA,0.77,0.66,0.84,0.32,0.06,5.05,0.85,0,0.05,0.19,14.59,19.5,NA,2.64,0.49,2.31,13.98,0.03,4.3,0,13.45,44.95,82.58,13.47,4.43,0,0,76.44,0,4.98,0,0.04,0.03,NA,2.48,1.48,0.19,22.09,NA,0,0.52,0.01,0.38,6.2,1.48,0.11,5.11,47.16,59.49,3.85,NA
Philippines,NA,1.09,0,0,22.28,0.83,0.66,17.81,4.54,0.08,4.68,0.05,23.65,0.83,0.09,1,0,0,1.58,4.73,6.16,NA,0,0,1.04,0,3.72,4.05,3.48,0,0,7.43,38.59,0.25,0.5,0.12,1.25,0.01,0,0.07,20.85,0.06,0.26,NA,0.1,1.2,NA,2.21,0.81,0.55,2.11,0.21,3.12,0,0,0.05,0.01,1.97,1.11,NA,1.43,0.95,0.41,14.04,0.06,17.83,0.01,9.25,24.02,3.64,13.87,0.21,0.25,0,180.58,0,1.11,0,0.02,0.01,NA,0.24,0.19,0.31,18.16,NA,0,1.05,0.03,0.04,4.53,8.09,0.04,3.08,57.51,27.68,0.21,0.12
Poland,NA,13.09,0,0,3.06,6.87,0.8,108.67,4.8,7.99,3.25,5.21,NA,0,2.77,0.06,0,0,0,0.2,2.3,NA,NA,12.11,0.08,0.09,4.16,6.77,0.67,0,0.01,2.01,20.02,1.19,3.35,0,0.76,0.12,0,2.97,NA,0,0,NA,0.1,178.39,NA,NA,0.04,0.03,0.87,1.9,0.31,0.7,0.04,0.19,0.32,13.61,8.98,NA,0,0,1.17,4.39,0.12,55.01,0.12,1.42,0.79,101.67,30.3,0.04,3.72,0,1.61,NA,0,25.66,NA,0,NA,0.92,0.08,0.13,44.89,NA,NA,NA,NA,1.71,0.07,0.31,0.46,24.63,87.32,105.73,3.26,NA
Polynesia,NA,2.54,0.99,0,33.15,0.22,0.01,41.3,0.58,0.1,18.65,0,6.26,0.22,0.24,2.18,0,0,1.69,95.87,1.7,NA,0,0,1.61,0.02,0.77,5.19,1.81,0,NA,0.85,53.16,0.87,0.77,0.24,0.53,0.51,1.21,0.03,0.2,0,9.38,NA,0.85,36.9,NA,30.06,3.3,3.84,0.4,0.08,3.15,1.33,0.05,0.59,0.05,2.25,3.75,NA,1.34,0,0,30.74,0.08,18.39,0.01,12.6,NA,15.93,54.6,1.14,0.03,0,26.61,NA,53.56,NA,0,0.01,NA,0.22,1.02,0.4,21.13,NA,5.44,NA,0.03,5.77,NA,15.56,0.23,3.65,34.73,58.83,5.2,5.55
Portugal,NA,29.5,0.01,0,16.39,3.26,1.76,48.36,8.84,0.44,17.77,2.33,NA,4.7,0.37,0.41,0,0,NA,0.21,5.25,NA,NA,2,3.62,0.05,31.34,8.44,4.08,0.04,0.04,3.36,37.36,0.02,1.14,0.07,0.37,0.8,0,2.44,17.78,0.73,2.13,NA,1.41,216.44,0,2.9,3.97,2.35,4.83,1.42,4.33,0.16,0,6.84,1.33,16.37,42.26,NA,0,0.04,0.31,7.72,0.03,41.95,0.06,6.05,0.01,64.14,30.58,1.31,NA,0,20.46,NA,NA,3.28,NA,0.01,NA,2.84,0.02,0.26,24.2,NA,NA,NA,NA,4.41,0.39,11.06,0.34,63.04,73.38,84.59,40.54,0.15
Republic of Korea,NA,1.81,1.19,25.65,8.13,0.41,0.95,41.47,5.25,30.42,15.79,1.52,0.05,6.75,0.26,0.02,0,0,0.94,0.08,1.45,NA,0.58,0,3.53,0.01,19.43,10.25,2.56,0,0,1.58,25.42,0.53,5.5,0.03,1.09,0.5,NA,0.32,14.9,0.02,0.21,NA,0.11,18.21,0.19,NA,9.54,0.14,2.66,0,3.8,0.94,0,0.26,0.05,27.71,15.49,NA,3.35,0.16,0.06,13.94,0.09,37.96,0.02,1.9,0,11.21,16.7,0.15,1.98,0,120.16,0.44,0.51,NA,0.41,0.57,NA,8.96,7.22,0.35,21.52,NA,0.01,NA,0.05,0.41,3.89,17.67,0.07,7.34,162.08,51.53,0.64,NA
Republic of Moldova,NA,2.68,0,0,2.22,0.87,NA,29.82,4.76,0.07,1.62,1.17,NA,0.03,1.42,0,0,0.19,NA,0.03,0.57,NA,NA,3.1,0.11,0.04,2.18,7.94,0.8,0,NA,3.95,10.67,0.36,19.76,0,0.08,0,0.17,0.93,87.23,2.05,0.89,NA,0.17,128.53,NA,5.77,0.1,0.21,0.21,0.82,1.98,1.03,0,0.02,0.52,10.29,3.14,NA,NA,0.01,0.75,4.31,0.03,19.98,0.01,0.23,0,45.65,16.14,0,0,0,3.29,NA,0,0.9,0.03,NA,NA,0.24,0.01,0.04,21.19,NA,0,NA,NA,6.29,0,9.93,0.22,15.26,49.57,41.57,10.1,NA
Romania,NA,20.53,0,0,6.41,0.55,1.95,90.97,1.62,0.44,4.95,0.9,NA,0.05,0.88,0.05,0,0,NA,0.06,2.81,NA,NA,1.44,0.1,0.05,0.63,14.35,4.95,0,0,1.91,32.31,1.22,13.41,0,0.49,0.75,0.25,2.95,34.49,0.2,0.34,NA,0.33,238.92,NA,5.13,0.19,3.92,2.29,0.2,3.34,2.6,0.02,0.23,1.22,20.88,6.95,NA,0.94,NA,0.16,2.75,0.08,35.34,2.35,0.75,3.62,98.74,19.37,0.07,NA,0,4.43,NA,0,1.1,0.09,0,NA,1.13,0.01,0.24,25.73,NA,0,NA,NA,10.2,0.02,3.12,0.13,46.27,129.07,126.84,6.88,NA
Russian Federation,NA,14.71,0.04,0,10.2,0.67,0.08,50.7,6.44,0.33,13.51,2.39,NA,0.76,0.12,0.03,0,0.69,NA,0.1,1.46,NA,NA,1.21,0.57,0.14,7.47,16.02,0.81,0,0,5.56,18.09,0.76,0.27,0,1.31,0.46,0.21,1.45,0.61,0.03,0,NA,4.06,165.45,0.68,0,0.49,1.38,0.21,2.06,3.99,3.33,NA,0.14,0.73,16.21,9.71,NA,NA,NA,1.79,5.22,0.05,26.67,0.04,0.74,0,112.12,30.98,0.66,0.03,0,8.1,NA,0,5.25,0.06,0,0,0.68,0.13,0.11,41.08,NA,0,NA,NA,11.17,0,40.33,1.06,26.23,70.6,129.43,8.93,0
Rwanda,NA,0.12,0,0,208.66,0,34.98,12.89,0.14,6.7,2.53,0.06,103.51,0,0.02,0.01,NA,0,0,0,0.03,NA,0,0.05,0,0,0,0.39,0.16,0,0,2.4,18.48,0,0,0.11,1.15,0.4,0.01,0.15,13.11,0,5.08,NA,1.73,19.62,0.41,0.4,0,2.13,0,0,1.24,0.01,NA,0,0,0.39,0.21,NA,2.49,0,1.34,0.17,0.21,1.21,0,0.6,0,93.35,1.49,0,0,0,11.54,0,12.12,0,0,0,8.92,0.17,2.09,0.06,6.03,NA,0,NA,NA,0.28,83.79,1.96,0.13,3.16,35.91,17.34,0.06,3.86
Saint Kitts and Nevis,NA,4.25,NA,0,3.46,0,0.86,35.42,3.39,0,10.88,0,0.08,0.06,0.85,0.47,NA,0,3.84,8.43,0.64,NA,0.01,0,2.59,NA,6.62,4.08,1.83,0,0,3.17,53.81,0.33,6.79,0.18,1.2,NA,0.92,1.95,0.9,0.31,11.78,NA,3.91,19.99,NA,15.37,8.26,1.85,0.71,1.25,3.5,5.32,NA,0.19,NA,6.01,6.32,NA,0,0,0,3.57,0,10.09,0,2.2,NA,15.93,55.77,4.86,NA,0,23.12,NA,9.32,0.06,NA,0.02,NA,4.73,0.21,0.95,30.91,NA,NA,NA,0,0.01,2.73,37.27,0.15,4.72,33.67,40.42,4.3,0.58
Saint Lucia,NA,4.85,0.01,0,12.26,0,1.79,68.95,5.99,5.63,7.76,0,6.45,0.15,0.14,0.04,0.01,0.17,1.55,5,0.29,NA,0,0,1.24,0.03,0.46,3.7,0.28,0,0,0.99,29.62,3.8,1.58,0,1.42,0,0.32,1.45,0.6,0.04,10.07,NA,0.01,32.13,NA,17.53,4.04,2.67,0.64,1.21,4.52,5.01,0,0.12,0.11,5.86,8.37,NA,NA,0,0.43,17.16,0.65,23.76,0.02,1.52,2.63,10.99,56.69,4.08,0.03,0,10.24,NA,6.67,0.01,0,0.02,NA,NA,0.13,1.3,40.48,NA,NA,NA,0,0.02,2.86,0.72,0.21,3.2,36.74,67.99,6.23,2.44
Saint Vincent and the Grenadines,NA,10.87,0,0,27.39,0,0.06,22.04,9.34,0.48,9.1,0,3.27,0,0.68,0.05,0.01,1.92,1.89,0,1.77,NA,0,0,0.35,0,2.21,4.49,0.29,0,0,0.17,47.97,2.2,1.08,0.47,0.5,0.03,0.14,8.23,12.63,0.14,9.08,NA,0.06,29.73,NA,25.29,1.03,0.99,0.47,0.44,2.2,3.22,0,0.19,0.02,14.06,10.4,NA,0,NA,0.36,5.3,0,8.58,0.02,0.68,28.91,7.75,72.31,8.07,NA,0,28.79,NA,31.2,NA,0.01,0,NA,3.59,0.53,2.74,42.21,NA,NA,NA,NA,NA,8.38,3.28,0.17,0.79,52.75,76.08,1.38,6.96
Samoa,NA,1.92,2.06,0,78.99,0,NA,23.13,0.27,0,9.66,0,2.1,0.21,0.38,2.36,0.01,0,3.91,172.26,1.77,NA,0.01,0,2.46,0.02,0.23,2.19,3.77,0,NA,0.46,79.16,0,0.27,0,0.54,0.61,0.24,0.01,0.44,0,3.31,NA,0.02,32.75,NA,12.68,2.77,4.88,0.18,0.2,2.33,0.48,0.12,0.02,0.03,5.29,1.65,NA,3.24,0,NA,36.88,0.16,17.33,0.01,15.4,NA,6.12,64.77,0,0,0,15.53,NA,106.64,NA,NA,0.01,NA,0,2.26,0.79,24.14,NA,0.06,NA,0.07,0.86,NA,9.94,0.47,0.34,13.8,44.73,0.33,13.4
Sao Tome and Principe,NA,0.54,NA,NA,27.46,5.66,3.55,4.75,0.33,0.01,1.35,0,5.79,0,0.03,0,0,0,1.69,122.17,0.06,NA,0.01,0,0.13,0.02,6.35,0.69,0.27,NA,0,0,26.12,0,0.17,0,0.3,0.01,0.13,0.01,6.38,NA,3.49,NA,0,6.33,NA,5.08,0.23,0.05,0.03,0.01,0.23,1.39,NA,0.52,0.22,3.15,0.69,NA,2.36,2.09,0.04,18.1,0,3.93,0,0.12,169.39,1.75,9.47,0.23,NA,0,35.94,NA,28.06,0,NA,0,NA,1.47,0.01,0.36,13.46,NA,NA,NA,NA,0.07,NA,18.39,0.03,2.17,5.22,42.65,13.57,10.05
Saudi Arabia,NA,5.21,0,0,5.98,0.02,0.25,0,NA,0,4,1.14,0.04,0.08,0.34,0.12,0.05,0.02,0.07,0.27,1.64,NA,0.42,2.74,0.63,34.87,2,6.56,0.4,0,0,4.41,10,1.16,2.68,0.04,0.56,0.33,1.18,1.74,25.26,1.55,0.38,NA,1.64,64.03,0.56,6.13,0.01,4.94,1.24,0.4,1.69,0.71,0,0.33,0.55,11.75,7.99,NA,10.37,1.02,0.18,3.82,0.11,0.18,0.07,1.26,5.94,15.62,43.36,4.79,0.02,0,51.07,0,0.09,0,0,0.7,4.42,2.3,0.11,2.44,29.68,NA,0.01,NA,0.11,1.73,0.15,1.21,0.58,14.94,35.62,96.34,0,0
Senegal,NA,0.99,0,0,1.73,0,0,2.35,0.02,0,4.95,0.08,9.69,0.15,0.1,0,0,0,0,1.4,0.62,NA,0.12,0.04,0.22,0.17,3.77,1.65,0.19,0,0,1.92,8.91,0.01,0.1,6.51,4.64,0.25,0.13,2.97,32.52,0,0.02,NA,0.65,10.98,23.08,0,0.47,2.82,0.92,0,1.81,0.03,0.07,0.03,0.05,35.21,3.27,NA,8.11,0,0.49,11.53,0.19,0.94,0.29,0.86,1.59,6.74,4.76,3.64,0,0,123.85,0,0,0,0.29,0,7.97,1.48,0.04,0.15,16.24,NA,0,NA,0.01,0.71,1.9,1.9,0.4,9.75,24.41,40.22,0.46,4.67
Serbia,NA,13.64,0,0,7.5,1.04,2.37,50.76,7.8,0.02,6.58,0.33,0,0.19,2.78,0.11,0,0,0.12,0.06,3.62,NA,NA,0.97,0.02,0.07,1.33,9.42,2.46,0,0,1.92,45.81,0.39,13.34,0,1.33,0.47,0.1,2,28.98,0.04,0.02,NA,0.18,173.12,NA,NA,0.03,3.18,1.89,0.54,3.56,3.92,0.15,0.07,0.14,0.76,5.99,NA,NA,NA,0.09,2.67,0.03,33.38,0.26,0.17,0,37.38,10.16,0.23,NA,0,0.82,NA,0.53,0.91,0.16,NA,NA,0.66,0.01,0.07,29.47,NA,0.01,NA,NA,2.11,NA,0.23,0,19.38,90.02,110.18,6.85,NA
Sierra Leone,NA,0.09,NA,0,NA,0.02,0.01,2.74,0.22,0.12,1.38,0,107.13,0.02,1.32,12.85,NA,0,NA,0.56,0.72,NA,0,0,0.03,0,7,1.41,0.07,0,0,1.3,14.79,0,0.01,1.55,5.4,0.06,0.08,0,2.1,0,1.5,NA,1.53,22.8,4.41,2.55,0.06,0.51,1.05,0,0.9,0.38,NA,0,0,2.82,0.01,NA,10.15,1.17,0.46,16.39,0,0.86,0.49,0.01,5.97,0.25,3.97,8.89,0,0,186.23,NA,0.34,0,0.35,NA,2.38,0.14,0,0.18,4.95,NA,NA,NA,NA,NA,22.75,1.63,0.07,4.18,40.82,12.89,0.08,NA
Slovakia,NA,9.51,0,0,8.85,1.88,0.28,73.22,6,0,6,4.92,NA,0.01,1.08,0.21,0,0,NA,0.16,3.28,NA,NA,8.92,0.07,0.11,3.88,12.93,4.83,0,0,2.49,8.1,0.85,7.2,0.04,1.17,0.86,0.4,2.92,NA,0.53,0.53,NA,1.92,157.93,NA,0,0.05,0.14,1.54,1.99,2.83,0.7,0.22,0.29,0.4,4.56,8.33,NA,NA,NA,0.55,2.66,0.1,37.39,0.15,1.01,1.73,50.66,13.9,0.51,13.35,1,2.46,NA,0,1.7,0.02,0,NA,1.41,0.06,0.33,6.42,NA,NA,NA,NA,3.48,0.03,68.68,0.18,9.63,48.6,65.3,5.13,NA
Slovenia,NA,37.32,0.01,0,11.88,2.27,0.89,78.57,2.08,1.14,18.94,2.1,NA,1.5,1.74,0.44,0,0,NA,0.15,4.67,NA,NA,16.78,0.56,0.24,2.62,9.87,1.76,0,0,2.29,22.28,0.5,32.75,0.05,0.83,0.76,0,2.64,30.47,1.02,0.62,NA,0.34,225.02,NA,11.26,1.08,0.86,3.62,0.73,3.45,0.22,0.05,0.91,0.49,8.27,8.52,NA,0,NA,1.08,3.29,0.09,31.84,0.67,1.12,0.48,47.43,24.41,0.06,0,0,3.4,NA,1.84,2.67,0.05,0.03,NA,3.02,0.03,0.27,18.16,NA,NA,NA,0.69,3.44,NA,26.82,0.13,10.01,73.56,98.86,9.87,NA
Solomon Islands,NA,0.47,0.16,0,0.47,0.02,0,10.67,0.03,0.01,2.71,0,4.96,0.01,0,0,NA,0.82,0.81,66.06,0.12,NA,NA,0,0.08,0,0.01,1.09,1.37,0,0,0.01,42.13,0,0.02,NA,0.14,NA,0.03,NA,0.24,0,10.45,NA,0.01,5.78,NA,7.34,0.08,0.08,0.47,0,0.52,0.29,NA,0.01,0,2.22,0.17,NA,2.1,0,0,19.51,0,4.49,0,0.01,NA,0.5,4.45,9.72,NA,0,92.78,NA,70.75,NA,0,0,NA,1.18,0.21,0.48,7.87,NA,NA,NA,NA,0,170.95,3.04,0.18,0.03,12.56,26.03,0.25,72.84
South-eastern Asia,NA,1.09,0.07,0,18.28,0.15,1.35,10.88,2.44,0.04,5.23,0.18,24.72,1.08,0.27,0.21,0.02,0,0.78,11.15,1.69,NA,0.06,0.05,3.36,0.09,4.09,6.31,1.19,0,0,16.93,32.94,1.24,0.93,0.5,3.22,0.01,0.14,0.21,24.41,0.05,3.69,NA,0.08,9.76,0.1,0.88,1.06,0.51,1.7,0.15,2.65,0.04,0,0.03,0,5.86,6.48,0,2.92,1.33,0.3,9.61,0.17,12.38,1.23,5.55,5.56,4.74,13.05,1.27,0.08,0,196.08,0.03,1.49,0,0.2,0.09,0.15,1.69,1.68,1.07,19.59,NA,2.29,1.51,0.03,0.16,4.37,5.35,0.79,2.5,62.46,21.95,0.1,0.02
South Africa,NA,2.66,0.01,0,7.11,0.07,1.35,57.1,5.91,0.07,16.57,0.3,0,0.16,0.89,0.24,0.01,0,0.04,0.07,1.06,NA,0.06,0.04,0.27,0.01,2.5,6.61,0.32,0,0,0.21,5.96,0.61,1.43,0.14,1.38,0.08,0.01,0.39,103.4,1.38,0.07,NA,0.68,53.59,0.09,0,0.11,2.88,0.12,0.99,4.95,0.04,0,0.1,0.03,9.25,2.55,NA,0.92,0.22,0.14,2.65,0,4.19,0.44,0.59,0,30.74,35.69,0.23,NA,0,24.57,NA,0,0.04,NA,0.01,3.21,4.96,1.25,0.15,33.06,NA,NA,NA,NA,5.17,0.96,16.57,0.41,9.66,22.98,57.07,6.65,0.02
South America,NA,5.84,0.03,0,22.22,0.5,7.76,51.5,2.74,0.03,29.71,0.52,27.87,0.18,0.48,1.46,0,0.01,0.03,5.19,1.88,0,0.69,0.57,0.7,0,2.16,9.16,1.89,0,0,3.19,21.83,0.51,4.01,0.02,0.68,0.08,0.08,4.69,30.21,0.2,0.42,0,0.54,126.05,0,0.61,0.33,0.65,0.91,1.91,2.9,2.09,0.01,0.2,0.4,8.94,19.64,NA,2.77,0.09,0.55,2.82,0.04,12.1,0.01,8.94,13.01,28.14,37.99,0.91,0.07,0,44.48,0.04,1.16,0.02,0.07,0.03,0,8.15,0.18,0.14,36.06,0.05,7.72,4.17,0.01,1.69,2.19,3.71,1.97,14.51,29.8,57.58,4.36,1.17
